Employee ID,Last Name,First Name,Date,Log In,Log Out
10001,Garcia,Manuel III,6/3/2024,8:59:00 AM,6:31:00 PM
10002,Lim,Antonio,6/3/2024,10:35:00 AM,7:44:00 PM
10003,Aquino,Bianca Sofia,6/3/2024,10:23:00 AM,6:32:00 PM
10004,Reyes,Isabella,6/3/2024,10:57:00 AM,6:14:00 PM
10005,Hernandez,Eduard,6/3/2024,9:48:00 AM,5:13:00 PM
10006,Villanueva,Andrea Mae,6/3/2024,9:31:00 AM,7:29:00 PM
10007,San Jose,Brad,6/3/2024,9:09:00 AM,4:30:00 PM
10008,Romualdez,Alice,6/3/2024,9:02:00 AM,6:06:00 PM
10009,Atienza,Rosie,6/3/2024,8:18:00 AM,5:40:00 PM
10010,Alvaro,Roderick,6/3/2024,8:10:00 AM,3:13:00 PM
10011,Salcedo,Anthony,6/3/2024,9:08:00 AM,7:36:00 PM
10012,Lopez,Josie,6/3/2024,9:47:00 AM,6:43:00 PM
10013,Farala,Martha,6/3/2024,9:48:00 AM,7:21:00 PM
10014,Martinez,Leila,6/3/2024,9:23:00 AM,6:09:00 PM
10015,Romualdez,Fredrick,6/3/2024,8:41:00 AM,7:27:00 PM
10016,Mata,Christian,6/3/2024,8:41:00 AM,4:45:00 PM
10017,De Leon,Selena,6/3/2024,9:40:00 AM,5:24:00 PM
10018,San Jose,Allison,6/3/2024,8:22:00 AM,4:46:00 PM
10019,Rosario,Cydney,6/3/2024,9:53:00 AM,5:24:00 PM
10020,Bautista,Mark,6/3/2024,8:47:00 AM,4:27:00 PM
10021,Lazaro,Darlene,6/3/2024,9:37:00 AM,6:45:00 PM
10022,Delos Santos,Kolby,6/3/2024,10:54:00 AM,8:10:00 PM
10023,Santos,Vella,6/3/2024,10:27:00 AM,8:10:00 PM
10024,Del Rosario,Tomas,6/3/2024,9:16:00 AM,5:57:00 PM
10025,Tolentino,Jacklyn,6/3/2024,10:18:00 AM,6:07:00 PM
10026,Gutierrez,Percival,6/3/2024,8:17:00 AM,6:31:00 PM
10027,Manalaysay,Garfield,6/3/2024,9:05:00 AM,7:14:00 PM
10028,Villegas,Lizeth,6/3/2024,8:52:00 AM,5:23:00 PM
